dataset,model,accuracy_HF,accuracy_BF,accuracy_Mixte,total_cost_CA,data_cost_CA,compute_images_seen,time_min,robustness_gap,accuracy_per_kCA
Animals-10,BL 1(HF),54.322876817138486,27.824534557510837,41.07370568732466,470400.0,23520.0,47040.0,0.5789925350083246,26.49834225962765,0.11548230615888284
Animals-10,BL 2(BF),61.29813823004336,71.01504718184137,66.15659270594236,424260.00000000006,21213.000000000004,424260.0,6.881024832195706,-9.716908951798011,0.1444824829822358
Animals-10,BL 3(MIXTE),73.97347615404233,72.9023208365213,73.43789849528181,894660.0,44733.0,471300.0,7.160193561183082,1.0711553175210327,0.08268333909422834
Animals-10,Strat 1(BF→HF),78.43662331038,69.00025503698036,73.71843917368018,400230.0,44733.0,230940.0,3.9706047985288833,9.436368273399637,0.19597887042545536
Animals-10,Strat 2(CoTrain),65.92705942361643,64.32032644733486,65.12369293547565,486720.0,44733.0,149760.0,2.4696124805344475,1.6067329762815632,0.1354517164357668
Imagewoof,BL 1(HF),24.985153134809536,22.07516755747858,23.530160346144058,179800.0,8990.0,17980.0,0.36323566304312815,2.909985577330957,0.13896080720138784
Imagewoof,BL 2(BF),42.71655213370663,47.01790107745822,44.867226605582424,162520.00000000003,8126.000000000002,162520.0,3.2562485522694056,-4.3013489437515915,0.2628387406701121
Imagewoof,BL 3(MIXTE),50.30117926529227,48.799524900313905,49.55035208280309,342320.0,17116.0,180500.0,3.448600937260522,1.5016543649783642,0.14694198196217653
Imagewoof,Strat 1(BF→HF),52.01493170442013,45.134470179010776,48.57470094171545,153160.0,17116.0,88450.0,2.022386733690898,6.880461525409352,0.33961172436941844
Imagewoof,Strat 2(CoTrain),35.24221600067872,33.69814202087045,34.47017901077458,183040.0,17116.0,56320.0,1.361825344297621,1.5440739798082674,0.19253833042328844
